Year,SB,SB_SD,low_SB,hi_SB,Depletion,Dep_SD,low_dep,hi_dep,SSversion
1940,1355.83,65.1042,1228.225768,1483.434232,1,0.00013089,0.999743456,1.000256544,324
1941,1349.75,64.9192,1222.508368,1476.991632,0.995518,1.31E-04,0.99526124,0.99577476,324
1942,1337.19,64.5268,1210.717472,1463.662528,0.986253,0.00040156,0.985465942,0.987040058,324
1943,1313.94,63.7923,1188.907092,1438.972908,0.969107,0.000905525,0.967332171,0.970881829,324
1944,1241.62,61.5535,1120.97514,1362.26486,0.91576,0.00245872,0.910940909,0.920579091,324
1945,1136.81,58.2917,1022.558268,1251.061732,0.838462,0.00470358,0.829242983,0.847681017,324
1946,983.7,53.59,878.6636,1088.7364,0.725533,0.00792085,0.710008134,0.741057866,324
1947,920.749,51.3427,820.117308,1021.380692,0.679103,0.00938181,0.660714652,0.697491348,324
1948,881.301,49.7948,783.703192,978.898808,0.650008,0.0105189,0.629390956,0.670625044,324
1949,870.798,49.1133,774.535932,967.060068,0.642262,0.0112611,0.620190244,0.664333756,324
1950,849.884,48.2746,755.265784,944.502216,0.626836,0.0122383,0.602848932,0.650823068,324
1951,847.828,48.0147,753.719188,941.936812,0.62532,0.0129492,0.599939568,0.650700432,324
1952,854.984,48.0668,760.773072,949.194928,0.630598,0.0135142,0.604110168,0.657085832,324
1953,851.276,47.9329,757.327516,945.224484,0.627863,0.0141755,0.60007902,0.65564698,324
1954,858.517,48.1127,764.216108,952.817892,0.633204,0.0146338,0.604521752,0.661886248,324
1955,860.711,48.2215,766.19686,955.22514,0.634822,0.0150831,0.605259124,0.664384876,324
1956,858.315,48.2976,763.651704,952.978296,0.633055,0.0155696,0.602538584,0.663571416,324
1957,866.694,48.876,770.89704,962.49096,0.639235,0.0162491,0.607386764,0.671083236,324
1958,852.72,50.0678,754.587112,950.852888,0.628928,0.0186478,0.592378312,0.665477688,324
1959,829.347,53.3687,724.744348,933.949652,0.611689,0.0237964,0.565048056,0.658329944,324
1960,830.981,58.989,715.36256,946.59944,0.612894,0.030195,0.5537118,0.6720762,324
1961,826.257,64.8762,699.099648,953.414352,0.60941,0.0364506,0.537966824,0.680853176,324
1962,819.054,69.6166,682.605464,955.502536,0.604097,0.0413659,0.523019836,0.685174164,324
1963,772.499,72.4298,630.536592,914.461408,0.56976,0.045004,0.48155216,0.65796784,324
1964,753.833,73.6281,609.521924,898.144076,0.555994,0.0466735,0.46451394,0.64747406,324
