"","Label","Type","0- Reference","4- Catch length","5- Catch age","6- Catch length age","7- Catch length age recdevs"
"1","AIC",NA,NA,NA,NA,NA,NA
"2",NA,"AIC",7698.04,1134.166,32083.2,36953.6,35489.6
"3",NA,"deltaAIC",0,-6563.874,24385.16,29255.56,27791.56
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-14.9268,NA,NA,NA,NA
"6",NA,"Trawl",0,NA,NA,NA,NA
"7",NA,"NonTRWL",0,NA,NA,NA,NA
"8",NA,"Recreational",0,NA,NA,NA,NA
"9",NA,"Tagging",1.42548,NA,NA,NA,NA
"10",NA,"Nearshore_survey",-1.69378,NA,NA,NA,NA
"11",NA,"OCNMS",-0.453579,NA,NA,NA,NA
"12",NA,"OCNMS_YOY",8.45538,NA,NA,NA,NA
"13",NA,"Private_Boat",-12.342,NA,NA,NA,NA
"14",NA,"Charter",-10.3183,NA,NA,NA,NA
"15","Surv_lambda",NA,NA,NA,NA,NA,NA
"16",NA,"ALL",NA,NA,NA,NA,NA
"17",NA,"Trawl",0,NA,NA,NA,NA
"18",NA,"NonTRWL",0,NA,NA,NA,NA
"19",NA,"Recreational",0,NA,NA,NA,NA
"20",NA,"Tagging",1,NA,NA,NA,NA
"21",NA,"Nearshore_survey",1,NA,NA,NA,NA
"22",NA,"OCNMS",1,NA,NA,NA,NA
"23",NA,"OCNMS_YOY",1,NA,NA,NA,NA
"24",NA,"Private_Boat",1,NA,NA,NA,NA
"25",NA,"Charter",1,NA,NA,NA,NA
"26","Length_likelihood",NA,NA,NA,NA,NA,NA
"27",NA,"ALL",657.118,560.081,0,590.042,615.129
"28",NA,"Trawl",134.95,144.829,847.407,169.748,165.434
"29",NA,"NonTRWL",56.226,150.239,3691.19,140.478,149.253
"30",NA,"Recreational",330.867,265.013,1253.86,279.815,300.441
"31",NA,"Tagging",18.9084,NA,NA,NA,NA
"32",NA,"Nearshore_survey",9.75063,NA,NA,NA,NA
