"","Label","Type","0- Reference","1- Length only","2- Age only","3- Length Age only","4a- Catch length","4b- Catch length rec devs","5a- Catch age","5b- Catch age rec devs","6a- Catch length age","6b- Catch length age recdevs"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",7698.04,1115.024,36255.8,37908.6,1133.852,1072.79,36430.6,7293.76,7426.52,6763.5
"3",NA,"deltaAIC",0,-6583.016,28557.76,30210.56,-6564.188,-6625.25,28732.56,-404.28,-271.52,-934.54
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-14.9268,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"Trawl",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"NonTRWL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"Recreational",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Tagging",1.42548,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"Nearshore_survey",-1.69378,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"OCNMS",-0.453579,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"OCNMS_YOY",8.45538,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"Private_Boat",-12.342,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"Charter",-10.3183,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"Fishery1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Fishery2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"Fishery3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Surv_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"Trawl",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,"NonTRWL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"Recreational",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Tagging",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"Nearshore_survey",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"OCNMS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,"OCNMS_YOY",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,"Private_Boat",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"Charter",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"Fishery1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"Fishery2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,"Fishery3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Length_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,"ALL",657.118,547.511,0,602.076,559.925,480.705,NA,NA,275.015,304.928
"34",NA,"Trawl",134.95,NA,784.388,151.653,161.732,127.296,NA,NA,57.9122,64.5903
"35",NA,"NonTRWL",56.226,NA,564.97,156.295,138.504,116.188,NA,NA,35.1276,38.2111
"36",NA,"Recreational",330.867,NA,16556.5,294.128,259.69,237.221,NA,NA,181.975,202.127
"37",NA,"Tagging",18.9084,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,"Nearshore_survey",9.75063,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,"OCNMS",106.416,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"OCNMS_YOY",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,"Private_Boat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,"Charter",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,"Fishery1",NA,134.82,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"Fishery2",NA,155.548,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,"Fishery3",NA,257.143,NA,NA,NA,NA,NA,NA,NA,NA
"46","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,"Trawl",1,NA,0,1,1,1,NA,NA,1,1
"49",NA,"NonTRWL",1,NA,0,1,1,1,NA,NA,1,1
"50",NA,"Recreational",1,NA,0,1,1,1,NA,NA,1,1
"51",NA,"Tagging",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Nearshore_survey",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"OCNMS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,"OCNMS_YOY",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,"Private_Boat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,"Charter",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,"Fishery1",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,"Fishery2",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,"Fishery3",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"60","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,"ALL",3091.6,NA,17973.9,17867.9,NA,NA,17829.1,3564.8,3360.03,2992.7
"62",NA,"Trawl",264.16,NA,2685.54,2853.45,NA,NA,2807.65,217.137,242.165,239.995
"63",NA,"NonTRWL",957.026,NA,1921.51,1912.98,NA,NA,2003.75,1873.33,1202.79,1118.7
"64",NA,"Recreational",1870.41,NA,13366.9,13101.5,NA,NA,13017.7,1474.33,1915.07,1634
"65",NA,"Tagging",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,"Nearshore_survey",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,"OCNMS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,"OCNMS_YOY",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,"Private_Boat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,"Charter",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,"Fishery1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,"Fishery2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
