"","Base Model","Retro -1","Retro -2","Retro -3","Retro -4","Retro -5"
"totlikelihood",3757.15,3674.23,3585.45,3520.85,3387.43,3305.66
"surveylike",-13.5373,-11.9389,-7.03881,-10.3953,-11.4284,-11.6579
"discardlike",NA,NA,NA,NA,NA,NA
"lengthlike",651.478,623.074,595.162,587.205,537.458,514.006
"agelike",3093,3037.18,2971.67,2917.87,2840.89,2784.32
"recrlike",-14.1267,-13.8265,-12.9097,-11.0225,-14.2934,-14.8334
"forerecrlike",0,0,0,0,0,0
"priorlike",40.3311,39.7418,38.566,37.1925,34.8062,33.8275
"parmlike",0,0,0,0,0,0
"R0",7.58041,7.54707,7.50974,7.51812,7.50089,7.49511
"SB0",943.875,915.343,882.394,888.874,873.879,871.066
"SBfinal",426.151,377.131,323.238,362.56,284.148,258.839
"deplfinal",0.451491,0.412011,0.366319,0.407887,0.325157,0.297152
"yieldspr",275.884,267.607,258.344,260.505,256.748,256.034
"steep",0.72,0.72,0.72,0.72,0.72,0.72
"mfem",0.17,0.17,0.17,0.17,0.17,0.17
"lminfem",0,0,0,0,0,0
"lmaxfem",52.7284,52.7161,52.6935,52.6606,52.6027,52.578
"kfem",0.117739,0.117958,0.118144,0.118312,0.118716,0.119019
"cv1fem",0.1,0.1,0.1,0.1,0.1,0.1
"cv2fem",0.1,0.1,0.1,0.1,0.1,0.1
"mmale",0.152,0.152,0.152,0.152,0.152,0.152
"lminmale",3.66175,3.66175,3.66175,3.66175,3.66175,3.66175
"lmaxmale",47.6527,47.6536,47.636,47.6266,47.6152,47.6184
"kmale",0.140352,0.140561,0.140915,0.140954,0.141218,0.14139
"cv1male",0.1,0.1,0.1,0.1,0.1,0.1
"cv2male",0.1,0.1,0.1,0.1,0.1,0.1
