"","Label","Type","0- Reference model","01- old dockside","02- old dockside no xvar","03- private boat no xvar","04- no private boat","05- no charter","06- no dockside indices","07- no tag index","08- no nearshore","09- no OCMNS","10- no YOY","11- no data wts","12- Dirichlet","13- McA_I","14- old catch"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",7698,7668.9,7988.02,7698.04,7717.84,7718.34,7741.04,7693.9,7701.44,7698.88,7681.08,38054.8,78837.8,5594.7,7705.7
"3",NA,"deltaAIC",0,-29.1000000000004,290.02,0.0399999999999636,19.8400000000001,20.3400000000001,43.04,-4.10000000000036,3.4399999999996,0.880000000000109,-16.9200000000001,30356.8,71139.8,-2103.3,7.69999999999982
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-14.9636,-28.1762,33.8804,-14.9268,1.25032,-4.18091,10.5072,-12.8708,-13.1942,-13.701,-23.1245,-22.3553,-26.0575,-30.2333,-21.7953
"6",NA,"Trawl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,"NonTRWL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",NA,"Recreational",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",NA,"Tagging",1.41761,2.72023,5.40646,1.42548,4.48463,1.40843,3.76423,5.85351,1.44248,1.76748,1.52644,1.35703,-0.177058,-0.765115,-2.49252
"10",NA,"Nearshore_survey",-1.69385,-1.69125,-1.71895,-1.69378,-1.68102,-1.69197,-1.68696,-1.68775,-1.69307,-1.69428,-1.69548,-1.71141,-1.75217,-1.69568,-1.67015
"11",NA,"OCNMS",-0.447106,-0.366324,-0.416326,-0.453579,-0.0998633,-0.445208,-0.160912,-0.100639,-0.45412,-0.368043,-0.417652,-0.722271,-0.895861,-0.538409,-0.813327
"12",NA,"OCNMS_YOY",8.45519,8.47965,8.427,8.45538,8.55185,8.4599,8.59081,8.60317,8.45368,8.49216,8.51577,8.41403,8.39602,8.36842,8.43556
"13",NA,"Private_Boat",-12.3689,NA,NA,-12.342,-7.31403,-11.9121,-7.69653,-9.27101,-12.3198,-11.9574,-12.2241,-16.8585,-18.7912,-22.1798,-15.2005
"14",NA,"Charter",-10.3265,NA,NA,-10.3183,-10.0053,-9.9602,-9.66613,-10.4146,-10.3164,-10.309,-10.3137,-12.8342,-12.8372,-13.4227,-10.0543
"15",NA,"Dockside",NA,-37.3185,22.1823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Surv_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,"Trawl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",NA,"NonTRWL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",NA,"Recreational",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",NA,"Tagging",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"22",NA,"Nearshore_survey",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"23",NA,"OCNMS",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"24",NA,"OCNMS_YOY",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
