Type,0- Reference model,01- old dockside,02- old dockside no xvar,03- private boat no xvar,04- no private boat,05- no charter,06- no dockside indices,07- no tag index,08- no nearshore,09- no OCMNS,10- no YOY,11- no data wts,12- Dirichlet,13- McA_I,14- old catch
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIC,7698,7668.9,7988.02,7698.04,7717.84,7718.34,7741.04,7693.9,7701.44,7698.88,7681.08,38054.8,78837.8,5594.7,7705.7
deltaAIC,0,-29.1,290.02,0.04,19.84,20.34,43.04,-4.1,3.44,0.88,-16.92,30356.8,71139.8,-2103.3,7.7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALL,-14.9636,-28.1762,33.8804,-14.9268,1.25032,-4.18091,10.5072,-12.8708,-13.1942,-13.701,-23.1245,-22.3553,-26.0575,-30.2333,-21.7953
Tagging,1.41761,2.72023,5.40646,1.42548,4.48463,1.40843,3.76423,5.85351,1.44248,1.76748,1.52644,1.35703,-0.177058,-0.765115,-2.49252
Nearshore_survey,-1.69385,-1.69125,-1.71895,-1.69378,-1.68102,-1.69197,-1.68696,-1.68775,-1.69307,-1.69428,-1.69548,-1.71141,-1.75217,-1.69568,-1.67015
OCNMS,-0.447106,-0.366324,-0.416326,-0.453579,-0.0998633,-0.445208,-0.160912,-0.100639,-0.45412,-0.368043,-0.417652,-0.722271,-0.895861,-0.538409,-0.813327
OCNMS_YOY,8.45519,8.47965,8.427,8.45538,8.55185,8.4599,8.59081,8.60317,8.45368,8.49216,8.51577,8.41403,8.39602,8.36842,8.43556
Private_Boat,-12.3689,NA,NA,-12.342,-7.31403,-11.9121,-7.69653,-9.27101,-12.3198,-11.9574,-12.2241,-16.8585,-18.7912,-22.1798,-15.2005
Charter,-10.3265,NA,NA,-10.3183,-10.0053,-9.9602,-9.66613,-10.4146,-10.3164,-10.309,-10.3137,-12.8342,-12.8372,-13.4227,-10.0543
Dockside,NA,-37.3185,22.1823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALL,657.037,656.002,664.896,657.118,653.775,657.331,655.951,655.116,657.097,656.454,656.957,2087.25,3889.22,423.067,669.081
Trawl,134.919,135.678,139.854,134.95,133.303,135.096,133.324,134.501,134.95,134.908,134.937,195,579.551,68.2564,134.394
NonTRWL,56.2224,56.663,63.3739,56.226,55.5694,55.9511,55.277,56.203,56.2246,56.2126,56.2199,191.527,546.367,45.4835,55.446
Recreational,330.821,328.872,325.096,330.867,330.57,331.298,331.269,328.511,330.855,330.374,330.758,372.852,1945.32,240.714,334.308
Tagging,18.9133,18.6868,19.9539,18.9084,18.4832,18.8488,18.5441,18.3334,18.9048,18.8253,18.8829,23.761,209.196,18.517,19.858
Nearshore_survey,9.75545,9.73034,10.6775,9.75063,9.33496,9.69688,9.46826,9.55563,9.74373,9.82375,9.77818,18.4821,50.112,18.2105,18.0593
OCNMS,106.406,106.372,105.941,106.416,106.514,106.441,108.07,108.012,106.419,106.309,106.381,1285.63,558.677,31.8859,107.016
ALL,3091.62,3092.63,3175.22,3091.6,3090.46,3090.98,3090.4,3090.81,3091.61,3091.73,3091.55,16489.3,35015.6,2299.35,3089.51
Trawl,264.159,262.87,246.831,264.16,265.222,265.273,266.342,263.388,264.168,264.016,264.137,2396.51,4458.65,634.049,259.013
NonTRWL,957.05,957.875,1008.65,957.026,956.332,955.448,955.379,957.848,957.02,957.092,957.044,1878.15,3713.61,531.359,957.411
Recreational,1870.41,1871.89,1919.73,1870.41,1868.9,1870.26,1868.68,1869.57,1870.42,1870.62,1870.37,12214.7,26843.3,1133.94,1873.09
NatM_uniform_Fem_GP_1,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
L_at_Amin_Fem_GP_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_at_Amax_Fem_GP_1,52.7262,52.7281,52.7655,52.7248,52.7175,52.7248,52.718,52.7226,52.7248,52.7232,52.7243,56.3403,56.4023,52.2192,52.7493
VonBert_K_Fem_GP_1,0.117701,0.117733,0.118257,0.117704,0.11763,0.117666,0.117617,0.117711,0.117703,0.117712,0.117706,0.103403,0.103148,0.121536,0.117762
CV_young_Fem_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CV_old_Fem_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
L_at_Amax_Mal_GP_1,47.6462,47.6473,47.703,47.6445,47.6354,47.6436,47.6244,47.6289,47.6445,47.6425,47.6438,48.8495,48.889,47.517,47.629
VonBert_K_Mal_GP_1,0.140309,0.140364,0.140773,0.140318,0.140318,0.140279,0.140414,0.140529,0.140317,0.140345,0.140327,0.133416,0.133082,0.141703,0.140604
SR_LN(R0),7.58754,7.57199,7.57774,7.58738,7.53488,7.58699,7.54434,7.53211,7.5872,7.57822,7.58448,7.53274,7.56706,7.55258,7.80264
InitF_seas_1_flt_1Trawl,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20
InitF_seas_1_flt_2NonTRWL,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20
InitF_seas_1_flt_3Recreational,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20
LnQ_base_Tagging(4),-5.58668,-5.60254,-5.96908,-5.58591,-5.48484,-5.5722,-5.48795,-5.53893,-5.5854,-5.57709,-5.58323,-5.61719,-5.65666,-5.73057,-5.73173
LnQ_base_Nearshore_survey(5),-7.14576,-7.08109,-7.29274,-7.14493,-6.85726,-7.12947,-6.90685,-6.87868,-7.14383,-7.10288,-7.13217,-7.47634,-7.57968,-7.43851,-7.68459
Q_extraSD_Nearshore_survey(5),0.118339,0.118647,0.115785,0.118346,0.11982,0.118536,0.119212,0.119536,0.118967,0.118344,0.118198,0.116321,0.112151,0.117947,0.120483
LnQ_base_OCNMS(6),-7.41227,-7.35824,-7.55234,-7.41381,-7.1631,-7.39965,-7.24223,-7.21989,-7.41234,-7.37903,-7.40373,-7.63466,-7.81924,-7.59737,-7.84567
LnQ_base_OCNMS_YOY(7),-6.58605,-6.54567,-6.63749,-6.5856,-6.41799,-6.57851,-6.43229,-6.41079,-6.58552,-6.5531,-6.57293,-6.6391,-6.73647,-6.65723,-6.88845
Q_extraSD_OCNMS_YOY(7),1.7941,1.80142,1.78564,1.79416,1.82314,1.79551,1.83456,1.83778,1.79368,1.80508,1.79625,1.78125,1.77369,1.76772,1.78741
LnQ_base_Private_Boat(8),-6.24091,NA,NA,-6.24094,-6.16757,-6.229,-6.169,-6.19867,-6.24054,-6.23448,-6.23896,-6.32674,-6.35571,-6.31042,-6.37806
Q_extraSD_Private_Boat(8),0.375884,NA,NA,0.376205,0.378246,0.381275,0.378735,0.415534,0.376474,0.380921,0.377644,0.32606,0.305955,0.273695,0.342567
LnQ_base_Charter(9),-5.72854,NA,NA,-5.72894,-5.72901,-5.72,-5.72147,-5.7311,-5.72888,-5.72837,-5.72876,-5.76128,-5.7604,-5.67753,-5.81338
Q_extraSD_Charter(9),0.139374,NA,NA,0.139532,0.146247,0.140358,0.140642,0.137855,0.139569,0.13974,0.139628,0.0943193,0.0942252,0.0858841,0.145915
Size_DblN_peak_Trawl(1),50.0218,50.0207,50.1256,50.0224,50.0547,50.007,50.0399,50.0454,50.0224,50.0262,50.0234,49.7154,49.7065,50.3589,50.1479
Size_DblN_top_logit_Trawl(1),0.809362,0.82964,0.958975,0.809475,0.805965,0.794963,0.788935,0.828932,0.809379,0.81353,0.810327,2.10775,2.1092,1.97732,0.917819
Size_DblN_ascend_se_Trawl(1),3.46192,3.45961,3.46356,3.46194,3.4696,3.46033,3.46836,3.46506,3.46195,3.46239,3.46208,3.45256,3.45255,3.46072,3.48355
Size_DblN_peak_NonTRWL(2),48.8262,48.8128,48.699,48.8262,48.8667,48.8173,48.8601,48.8501,48.8264,48.8287,48.8272,47.8161,47.7707,49.3153,48.7872
Size_DblN_top_logit_NonTRWL(2),-0.710716,1.95625,-0.907829,-0.716277,-0.832799,-0.625251,-0.823711,-0.812395,-0.715986,-0.799367,-0.72001,-0.811495,2.25204,1.87384,1.53688
Size_DblN_ascend_se_NonTRWL(2),4.30156,4.29837,4.34026,4.30151,4.31044,4.29762,4.30699,4.30484,4.30153,4.30189,4.30166,4.22076,4.2171,4.3102,4.31326
Size_DblN_peak_Recreational(3),43.5177,43.496,43.0275,43.5159,43.5989,43.5385,43.6171,43.5542,43.5162,43.5195,43.5178,41.9012,41.9289,43.5801,43.4175
Size_DblN_top_logit_Recreational(3),-2.5445,-2.62742,-7.9504,2.49755,2.49858,2.50219,2.50233,2.49767,2.49754,2.49719,2.49743,2.63795,2.6365,2.48132,-2.64841
