"","Label","Type","0- Reference model","01- Est M","02- Lorenzen M","03- fix growth","04- fix growth Est M","05- Est Lmin","06- fix t0=0","07- Est CVlts","08- bio mat ogive","09- Fxnal mat ogive","10- Fec = ltwt","11- No rec devs","12- Full rec devs","13- Domed sel est"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",7698,7687.82,7866.78,10597.86,10476.8,7704.88,7256.4,7304.72,7697.1,7698.04,7696.5,7828.24,7725.06,7691.66
"3",NA,"deltaAIC",0,-10.1800000000003,168.78,2899.86,2778.8,6.88000000000011,-441.6,-393.28,-0.899999999999636,0.0399999999999636,-1.5,130.24,27.0600000000004,-6.34000000000015
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-14.9636,-7.78128,-10.7721,-40.9231,-10.3799,-16.5838,-27.1516,-17.6844,-17.9008,-14.9268,-15.9177,-6.3262,-16.8763,-18.8452
"6",NA,"Trawl",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,"NonTRWL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",NA,"Recreational",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",NA,"Tagging",1.41761,3.78674,3.69338,2.42851,7.88162,0.739789,-1.43681,1.32537,0.164231,1.42548,1.00084,6.7296,0.73065,0.496675
"10",NA,"Nearshore_survey",-1.69385,-1.66885,-1.69572,-1.78884,-1.70123,-1.66842,-1.67884,-1.69276,-1.70513,-1.69378,-1.69351,-1.56419,-1.70847,-1.91731
"11",NA,"OCNMS",-0.447106,-0.307818,0.278152,0.798994,0.74817,-0.514613,-1.4484,-0.415487,-0.525424,-0.453579,-0.508923,-0.944844,-0.52439,-0.415645
"12",NA,"OCNMS_YOY",8.45519,8.49913,8.61746,8.85252,8.98746,8.46015,7.87825,8.4347,8.45729,8.45538,8.43927,8.21485,8.39595,8.51217
"13",NA,"Private_Boat",-12.3689,-8.15297,-10.84,-36.6345,-12.1955,-13.227,-19.648,-14.4126,-13.8969,-12.342,-12.8215,-9.12839,-13.3255,-14.821
"14",NA,"Charter",-10.3265,-9.93752,-10.8254,-14.5797,-14.1004,-10.3738,-10.8178,-10.9236,-10.3948,-10.3183,-10.3339,-9.63322,-10.4445,-10.7001
"15","Surv_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"Trawl",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",NA,"NonTRWL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",NA,"Recreational",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",NA,"Tagging",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21",NA,"Nearshore_survey",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22",NA,"OCNMS",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23",NA,"OCNMS_YOY",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24",NA,"Private_Boat",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25",NA,"Charter",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26","Length_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,"ALL",657.037,644.41,718.353,650.772,646.213,661.239,662.353,643.639,659.855,657.118,657.962,673.264,658.156,641.757
"28",NA,"Trawl",134.919,134.419,143.501,95.545,94.5235,134.908,109.803,134.111,135.094,134.95,135.072,141.781,134.972,133.561
"29",NA,"NonTRWL",56.2224,54.8538,61.4457,49.7976,49.9099,56.2453,51.2599,56.6604,56.326,56.226,56.2769,57.9033,56.3706,56.0476
"30",NA,"Recreational",330.821,322.213,374.427,339.067,335.39,331.448,352.981,320.83,332.176,330.867,331.439,338.552,331.514,329.228
"31",NA,"Tagging",18.9133,17.1148,21.9953,27.9241,28.3312,19.0673,26.9699,15.7855,19.1657,18.9084,18.9918,17.5099,19.0508,14.7282
"32",NA,"Nearshore_survey",9.75545,9.79676,9.60413,26.7882,26.5443,13.1568,16.8637,11.1238,9.97661,9.75063,9.77294,6.37915,9.7861,1.51006
"33",NA,"OCNMS",106.406,106.013,107.38,111.65,111.514,106.413,104.476,105.128,107.116,106.416,106.411,111.138,106.462,106.682
"34",NA,"OCNMS_YOY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",NA,"Private_Boat",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",NA,"Charter",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,"Trawl",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"40",NA,"NonTRWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41",NA,"Recreational",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"42",NA,"Tagging",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"43",NA,"Nearshore_survey",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"44",NA,"OCNMS",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"45",NA,"OCNMS_YOY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",NA,"Private_Boat",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",NA,"Charter",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,"ALL",3091.62,3088.89,3108.75,4611.36,4510.06,3091.69,2889.16,2912.96,3091.23,3091.6,3091.13,3178.66,3089.33,3094.65
"50",NA,"Trawl",264.159,267.727,266.071,256.873,264.815,264.202,249.068,266.651,263.623,264.16,263.869,273.274,262.023,263.84
"51",NA,"NonTRWL",957.05,953.844,964.585,1334.77,1305.73,957.242,904.382,940.8,957.44,957.026,956.945,964.553,957.17,959.191
"52",NA,"Recreational",1870.41,1867.32,1878.1,3019.72,2939.51,1870.25,1735.71,1705.51,1870.16,1870.41,1870.32,1940.83,1870.13,1871.62
"53",NA,"Tagging",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",NA,"Nearshore_survey",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",NA,"OCNMS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",NA,"OCNMS_YOY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",NA,"Private_Boat",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",NA,"Charter",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,"Trawl",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",NA,"NonTRWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63",NA,"Recreational",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64",NA,"Tagging",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",NA,"Nearshore_survey",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",NA,"OCNMS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",NA,"OCNMS_YOY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",NA,"Private_Boat",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",NA,"Charter",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,"NatM_uniform_Fem_GP_1",0.17,0.15702,NA,0.17,0.104049,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
"72",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",NA,"L_at_Amax_Fem_GP_1",52.7262,52.6777,52.7295,51.19,51.19,52.7282,51.9897,52.4968,52.7282,52.7248,52.7276,52.7508,52.7299,52.7765
"74",NA,"VonBert_K_Fem_GP_1",0.117701,0.117729,0.117486,0.1513,0.1513,0.117712,0.164057,0.122056,0.117708,0.117704,0.117689,0.117197,0.117691,0.117696
"75",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0135346,0.1,0.1,0.1,0.1,0.1,0.1
"76",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.114709,0.1,0.1,0.1,0.1,0.1,0.1
"77",NA,"Wtlen_1_Fem_GP_1",5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05
"78",NA,"Wtlen_2_Fem_GP_1",2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122
"79",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,34.38,40.36,40.36,40.36,40.36,40.36
"80",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.31217,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
"81",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,5.24556e-05,1.41e-08,1.41e-08,1.41e-08
"82",NA,"Eggs_exp_len_Fem_GP_1",4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,2.72122,4.685,4.685,4.685
"83",NA,"NatM_uniform_Mal_GP_1",0.152,0.125744,NA,0.152,0.107929,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152
"84",NA,"L_at_Amin_Mal_GP_1",3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,0,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175
"85",NA,"L_at_Amax_Mal_GP_1",47.6462,47.6494,47.7205,47.26,47.26,47.6487,46.7778,47.9752,47.6361,47.6445,47.6445,47.6572,47.6435,47.705
"86",NA,"VonBert_K_Mal_GP_1",0.140309,0.141133,0.139516,0.1656,0.1656,0.140304,0.220565,0.146577,0.140407,0.140318,0.140302,0.139965,0.140305,0.140202
"87",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.101827,0.1,0.1,0.1,0.1,0.1,0.1
"88",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0697185,0.1,0.1,0.1,0.1,0.1,0.1
"89",NA,"Wtlen_1_Mal_GP_1",2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05
"90",NA,"Wtlen_2_Mal_GP_1",2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062
"91",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"92",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
