"Year","Total Biomass (mt)","Spawning Output","Total Biomass 0+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","1-SPR","Exploitation Rate"
1940,8829.08,957.174,8829.08,1,1988.12,5.35338,0.00893602,0.00060633497487847
1941,8824.82,956.14,8824.82,0.998919736641405,1987.91,12.79643,0.0210573,0.00145004997269066
1942,8815.05,953.794,8815.05,0.996468771613103,1987.44,22.44526,0.0364045,0.00254624307292642
1943,8798.76,949.777,8798.76,0.992272042491752,1986.62,78.0372,0.115514,0.00886911337506649
1944,8739.5,935.709,8739.5,0.97757461025895,1983.7,104.7205121,0.149883,0.0119824374506551
1945,8666.21,917.632,8666.21,0.958688806841807,1979.83,180.4893,0.234807,0.0208267858729479
1946,8539.61,887.642,8539.61,0.927356990474041,1973.1,89.3850921,0.136743,0.0104671164256916
1947,8500.4,877.317,8500.4,0.916570028019984,1970.69,74.4251,0.118003,0.00875548209496024
1948,8477.2,871.192,8477.2,0.91017098249639,1969.23,51.325,0.0854105,0.00605447553437456
1949,8474.55,870.357,8474.55,0.909298622820929,1969.03,42.18666,0.0714779,0.00497804131192807
1950,8478.95,871.68,8478.95,0.910680816654025,1969.35,56.87993,0.0935272,0.006708369550475
1951,8470.2,870.604,8470.2,0.909556674126126,1969.09,49.98621,0.083263,0.0059014202734292
1952,8467.35,870.997,8467.35,0.909967257781762,1969.19,186.29651,0.249283,0.0220017490714332
1953,8355.74,846.372,8355.74,0.8842404829216,1963.14,46.16443,0.0791663,0.00552487631257076
1954,8367.47,849.516,8367.47,0.887525152166691,1963.93,60.16543,0.100184,0.00719039685830962
1955,8365.74,850.198,8365.74,0.888237666296828,1964.1,65.37237,0.107909,0.00781429616507326
1956,8293.93,849.855,8293.93,0.887879319747507,1119.52,111.57505,0.17106,0.0134526153464039
1957,8137.12,841.441,8137.12,0.87908885949681,1095.05,113.910531,0.175408,0.0139988756464204
1958,7937.39,833.274,7937.39,0.87055645055131,1091.23,147.85046,0.217328,0.018627087745468
1959,7679.99,819.301,7679.99,0.855958268820507,1115.7,145.354073,0.217578,0.0189263362322086
1960,7409.11,807.259,7409.11,0.843377484135591,1176.89,136.79798,0.209383,0.0184634834683248
1961,7148.59,796.206,7148.59,0.831829949413586,1278.73,179.064251,0.261389,0.0250488909001635
1962,6867.78,777.373,6867.78,0.81215432094896,1401.77,123.8732,0.201027,0.0180368619845132
1963,6660.13,764.927,6660.13,0.799151460445018,1461.55,85.270297,0.150307,0.0128030979875768
1964,6502.76,753.98,6502.76,0.787714668388402,1374.75,78.28838,0.142008,0.0120392541013354
1965,6363.12,738.402,6363.12,0.771439675544885,1281.15,101.780714,0.184235,0.0159954101132778
1966,6214.73,715.061,6214.73,0.747054349574894,1299.16,103.5687118,0.190594,0.0166650380306144
1967,6102.39,688.6,6102.39,0.719409428170845,1578.68,84.6413959,0.165281,0.0138702042806179
1968,6069.82,665.353,6069.82,0.695122307960726,2025.6,93.8141,0.186533,0.0154558290031665
1969,6036,642.542,6036,0.671290695317675,1488.02,92.7120776,0.189254,0.0153598538104705
1970,6015.36,622.591,6015.36,0.650447045155844,1429.67,87.2687136,0.184105,0.014507646026173
1971,6027.69,606.485,6027.69,0.633620428469641,1710.66,82.3773,0.178547,0.0136664791984989
1972,6047.62,593.961,6047.62,0.620536078079848,1541.11,93.4652,0.200039,0.0154548731567129
1973,6118.52,582.249,6118.52,0.608300058296611,2255.92,90.151514,0.195997,0.0147342027156894
