"Year","Spawning Output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2013,238.064,187.134335861727,288.993664138273,0.251645,0.213584851377014,0.289705148622986
2014,247.466,189.538872444122,305.393127555878,0.261583,0.217550645119722,0.305615354880278
2015,258.376,191.581407388867,325.170592611133,0.273116,0.221101691792682,0.325130308207318
2016,271.4,193.85304496968,348.946955030319,0.286883,0.224909722794437,0.348856277205563
2017,285.608,195.447500750775,375.768499249225,0.301901,0.227995070063761,0.375806929936239
2018,314.183,209.419397091162,418.946602908838,0.332106,0.245138478077989,0.419073521922011
2019,340.688,220.121599476612,461.254400523388,0.360124,0.258660584448331,0.461587415551669
2020,365.97,229.313471141929,502.626528858071,0.386847,0.27046963050077,0.50322436949923
2021,399.513,247.445274331491,551.580725668509,0.422304,0.292330948329211,0.552277051670789
2022,417.511,252.29407195561,582.72792804439,0.441329,0.298994651475115,0.583663348524885
2023,430.898,255.423404446121,606.372595553879,0.45548,0.303496160790029,0.607463839209971
