"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,4.91276,19.5684,54.9953,108.323,261.989,388.146,460.436,483.643,472.126,439.853,397.345,351.549,306.622,264.805,227.117,193.852,164.897,139.93,118.542,100.302,84.7971,71.6474,60.5105,51.089,43.125,36.3968,30.7149,25.9181,21.8691,18.452,15.5683,13.1351,11.082,9.34972,7.88816,6.65505,5.61468,4.73694,3.9964,3.37163,18.1952
1893,4.91275,19.5686,54.9953,108.323,261.989,388.145,460.431,483.633,472.113,439.839,397.333,351.538,306.613,264.796,227.11,193.846,164.892,139.926,118.538,100.299,84.7946,71.6453,60.5087,51.0875,43.1237,36.3957,30.7141,25.9173,21.8685,18.4514,15.5679,13.1347,11.0817,9.34945,7.88793,6.65485,5.61452,4.7368,3.99629,3.37154,18.1947
1894,4.91274,19.5685,54.9955,108.323,261.989,388.145,460.43,483.628,472.103,439.827,397.321,351.527,306.603,264.788,227.103,193.841,164.887,139.922,118.535,100.297,84.7922,71.6432,60.507,51.086,43.1225,36.3947,30.7132,25.9166,21.8678,18.4509,15.5674,13.1343,11.0814,9.34918,7.88771,6.65466,5.61435,4.73666,3.99617,3.37144,18.1942
1895,4.91273,19.5685,54.9955,108.324,261.989,388.145,460.43,483.627,472.098,439.818,397.31,351.516,306.594,264.78,227.096,193.835,164.882,139.918,118.531,100.294,84.7897,71.6411,60.5052,51.0845,43.1212,36.3936,30.7123,25.9158,21.8672,18.4504,15.567,13.134,11.081,9.34891,7.88748,6.65447,5.61419,4.73652,3.99606,3.37134,18.1936
1896,4.91273,19.5685,54.9954,108.324,261.99,388.146,460.434,483.635,472.107,439.824,397.311,351.515,306.591,264.778,227.094,193.833,164.881,139.917,118.531,100.293,84.7891,71.6406,60.5048,51.0842,43.1209,36.3934,30.7121,25.9156,21.8671,18.4502,15.5669,13.1339,11.081,9.34884,7.88743,6.65442,5.61415,4.73649,3.99603,3.37132,18.1935
1897,4.91273,19.5685,54.9953,108.324,261.99,388.148,460.435,483.64,472.116,439.834,397.318,351.518,306.592,264.777,227.093,193.832,164.88,139.916,118.53,100.293,84.7888,71.6404,60.5046,51.0841,43.1208,36.3933,30.712,25.9156,21.867,18.4502,15.5668,13.1338,11.0809,9.34882,7.88741,6.65441,5.61414,4.73648,3.99602,3.37131,18.1935
1898,4.91273,19.5685,54.9953,108.324,261.99,388.147,460.438,483.642,472.122,439.843,397.327,351.524,306.595,264.778,227.093,193.832,164.88,139.916,118.53,100.292,84.7886,71.6402,60.5045,51.0839,43.1207,36.3932,30.7119,25.9155,21.867,18.4502,15.5668,13.1338,11.0809,9.3488,7.88739,6.65439,5.61413,4.73647,3.99601,3.3713,18.1934
1899,4.91273,19.5685,54.9953,108.324,261.989,388.147,460.438,483.645,472.124,439.848,397.336,351.533,306.6,264.78,227.093,193.831,164.879,139.915,118.53,100.292,84.7884,71.6401,60.5044,51.0839,43.1207,36.3932,30.7119,25.9155,21.8669,18.4501,15.5668,13.1338,11.0809,9.34879,7.88738,6.65439,5.61412,4.73646,3.99601,3.3713,18.1934
1900,4.91274,19.5685,54.9953,108.324,261.989,388.146,460.437,483.644,472.126,439.85,397.34,351.54,306.608,264.785,227.095,193.832,164.879,139.915,118.529,100.292,84.7882,71.6399,60.5042,51.0837,43.1205,36.3931,30.7118,25.9154,21.8669,18.4501,15.5668,13.1338,11.0809,9.34877,7.88736,6.65437,5.61411,4.73645,3.996,3.37129,18.1934
1901,4.91274,19.5685,54.9953,108.324,261.989,388.146,460.436,483.643,472.125,439.852,397.342,351.544,306.614,264.791,227.099,193.833,164.879,139.914,118.529,100.291,84.7878,71.6396,60.504,51.0836,43.1204,36.393,30.7117,25.9154,21.8668,18.45,15.5667,13.1337,11.0808,9.34874,7.88734,6.65436,5.61409,4.73644,3.99599,3.37128,18.1933
