"Quantity","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","326.019136","356.9633042","363.441005","369.385736","241.016956","264.7930846","251.09090913","130.3615253","197.68130511","166.04960515","NA"
"1-SPR","0.73335","0.760412","0.774122","0.787652","0.70209","0.718595","0.702193","0.522288","0.613794","0.555431",NA
"Exploitation Rate","0.101213","0.112414","0.116985","0.121678","0.0813814","0.0883779","0.0835156","0.0430815","0.0628532","0.051848",NA
"Age 0+ Biomass (mt)","3221.12","3175.43","3106.73","3035.76","2961.57","2996.15","3006.52","3025.93","3145.12","3202.62","6664.44"
"Spawning Output","147.468","142.695","134.777","126.375","118.024","121.351","123.353","126.909","141.112","149.348","159.807"
"Lower Interval","126.529312760362","122.037371595745","114.653265785133","106.782710019541","98.9245037641744","101.7005970874","103.295120575014","106.311934482867","119.031633739367","126.301371494989","135.563617486029"
"Upper Interval","168.406687239638","163.352628404255","154.900734214867","145.967289980459","137.123496235826","141.0014029126","143.410879424986","147.506065517133","163.192366260633","172.394628505011","184.050382513971"
"Recruits","1201.84","1189.33","1167.27","1141.89","1114.4","1125.64","1132.22","1143.57","1185.05","1206.62","1231.76"
"Lower Interval","1090.07070441522","1076.23123030264","1052.22858160382","1024.40432928292","994.027215721923","1004.36842278926","1009.99816763887","1020.80344332441","1063.62646708718","1085.547048396","1111.27477134354"
"Upper Interval","1325.06944710057","1314.31407031576","1294.88903525433","1272.8497282052","1249.34945478134","1261.5544065804","1269.23213276399","1281.10103218411","1320.33523605886","1341.19642861291","1365.30832582985"
"Fraction Unfished","0.234262","0.226679","0.214101","0.200754","0.187487","0.192773","0.195953","0.201603","0.224164","0.237247","0.253863"
"Lower Interval","0.205067944457479","0.19715900244685","0.184399901774678","0.170866705196147","0.157438204163821","0.161587817045585","0.163839774098905","0.168468044873764","0.189068100907232","0.200820481358128","0.215912805356546"
"Upper Interval","0.263456055542521","0.25619899755315","0.243802098225322","0.230641294803853","0.217535795836179","0.223958182954415","0.228066225901095","0.234737955126236","0.259259899092768","0.273673518641872","0.291813194643454"
