"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1940,994.062,838.646,707.537,596.924,503.604,424.873,358.45,302.412,255.134,215.248,181.597,153.207,129.255,109.048,92.0001,77.6172,65.4829,55.2456,46.6088,39.3222,33.1748,27.9884,23.6128,19.9213,16.8069,14.1794,11.9626,10.0925,8.51466,7.18352,6.06048,5.11302,4.31367,3.63929,3.07034,2.59034,2.18538,1.84373,1.55549,1.31231,7.0819
1941,993.957,838.655,707.527,596.915,503.596,424.866,358.444,302.401,255.113,215.21,181.54,153.134,129.171,108.958,91.909,77.5295,65.4011,55.171,46.5419,39.263,33.1229,27.9433,23.5738,19.8877,16.7781,14.1547,11.9416,10.0746,8.49942,7.17057,6.04949,5.1037,4.30578,3.63261,3.06468,2.58555,2.18133,1.8403,1.55259,1.30986,7.06857
1942,993.72,838.567,707.518,596.894,503.578,424.849,358.423,302.371,255.062,215.127,181.419,152.976,128.986,108.758,91.7065,77.3327,65.2161,55.0015,46.3894,39.1277,33.004,27.8397,23.4842,19.8105,16.7118,14.098,11.8932,10.0333,8.4643,7.14073,6.02416,5.08221,4.28757,3.61719,3.05163,2.57451,2.17199,1.8324,1.54592,1.30422,7.03783
1943,993.31,838.366,707.427,596.873,503.548,424.824,358.401,302.342,255.009,215.026,181.256,152.748,128.704,108.441,91.3738,77.0023,64.9005,54.7086,46.1235,38.8901,32.7943,27.6563,23.3248,19.6728,16.5934,13.9965,11.8064,9.95927,8.40129,7.08715,5.97865,5.0436,4.25483,3.58945,3.02814,2.55463,2.15517,1.81818,1.53389,1.29406,6.98243
1944,991.85,838.021,707.139,596.695,503.44,424.708,358.262,302.133,254.662,214.483,180.49,151.78,127.587,107.244,90.1617,75.8261,63.7957,53.6959,45.2121,38.0812,32.084,27.0375,22.7891,19.2113,16.1972,13.6575,11.517,9.71265,8.19147,6.90887,5.82734,4.91528,4.14609,3.49736,2.9502,2.48868,2.09939,1.77102,1.49403,1.26037,6.79896
1945,989.915,836.789,706.809,596.42,503.268,424.612,358.181,302.04,254.475,214.094,179.821,150.813,126.368,105.853,88.689,74.3511,62.378,52.3742,44.0076,37.0021,31.1295,26.2015,22.0623,18.5831,15.6566,13.1939,11.1206,9.37444,7.90343,6.66392,5.61928,4.73873,3.99641,3.37054,2.84281,2.39779,2.0225,1.706,1.43905,1.21391,6.54578
1946,986.55,835.157,705.583,595.982,502.891,424.309,357.883,301.624,253.841,213.125,178.436,149.008,124.214,103.473,86.2156,71.901,60.0391,50.2037,42.0361,35.2402,29.5743,24.8414,20.8815,17.5635,14.7802,12.443,10.4789,8.82733,7.43774,6.26808,5.28321,4.45367,3.7548,3.16589,2.66956,2.2512,1.89851,1.60116,1.35043,1.13901,6.13809
1947,985.344,832.318,704.415,595.126,502.682,424.162,357.858,301.742,254.09,213.482,178.8,149.247,124.231,103.235,85.7492,71.2667,59.3052,49.4308,41.2703,34.5123,28.9024,24.2343,20.3412,17.0882,14.3657,12.0839,10.1694,8.56152,7.21021,6.07381,5.11765,4.31281,3.63511,3.0643,2.58341,2.17819,1.83668,1.54882,1.30615,1.10156,5.93399
1948,984.616,831.3,702.048,594.164,501.98,424.003,357.752,301.752,254.251,213.8,179.26,149.757,124.666,103.496,85.7958,71.1119,58.9936,49.0166,40.803,34.0305,28.4329,23.7937,19.9385,16.7269,14.0459,11.8038,9.92587,8.35108,7.02916,5.91858,4.98493,4.19959,3.5387,2.98232,2.51379,2.11912,1.7866,1.50639,1.27023,1.07116,5.76814
1949,984.516,830.686,701.235,592.206,501.201,423.439,357.648,301.712,254.357,214.109,179.787,150.478,125.476,104.262,86.4111,71.5269,59.2101,49.0678,40.7332,33.8826,28.2414,23.584,19.7276,16.5253,13.8594,11.6351,9.77574,8.21899,6.91394,5.81874,4.89885,4.12566,3.47539,2.92825,2.4677,2.07989,1.75326,1.47809,1.24622,1.05081,5.65678
