"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,1825.67,1540.24,1299.45,1096.3,924.91,780.314,658.323,555.404,468.575,395.32,333.518,281.377,237.388,200.276,168.966,142.55,120.265,101.463,85.6009,72.2185,60.9282,51.403,43.3669,36.5871,30.8673,26.0416,21.9704,18.5357,15.6379,13.1931,11.1306,9.39048,7.92241,6.68386,5.63894,4.75737,4.01363,3.38616,2.85678,2.41017,13.0065
1893,1825.67,1540.25,1299.45,1096.3,924.91,780.312,658.316,555.393,468.562,395.308,333.507,281.368,237.381,200.27,168.961,142.546,120.261,101.46,85.5984,72.2164,60.9264,51.4015,43.3656,36.5861,30.8664,26.0409,21.9698,18.5351,15.6374,13.1927,11.1303,9.39021,7.92219,6.68367,5.63878,4.75724,4.01351,3.38606,2.8567,2.4101,13.0061
1894,1825.66,1540.25,1299.46,1096.3,924.91,780.312,658.315,555.387,468.553,395.297,333.497,281.359,237.373,200.264,168.956,142.542,120.258,101.457,85.5959,72.2143,60.9247,51.4,43.3644,36.585,30.8655,26.0401,21.9691,18.5346,15.637,13.1924,11.1299,9.38993,7.92196,6.68348,5.63861,4.7571,4.0134,3.38596,2.85662,2.41003,13.0057
1895,1825.66,1540.25,1299.45,1096.31,924.91,780.312,658.315,555.386,468.548,395.289,333.488,281.351,237.366,200.257,168.95,142.538,120.254,101.454,85.5934,72.2122,60.9229,51.3985,43.3631,36.5839,30.8646,26.0394,21.9685,18.534,15.6365,13.192,11.1296,9.38966,7.92173,6.68328,5.63845,4.75696,4.01328,3.38587,2.85654,2.40996,13.0054
1896,1825.66,1540.25,1299.45,1096.3,924.915,780.313,658.32,555.394,468.556,395.294,333.489,281.35,237.364,200.256,168.949,142.536,120.253,101.453,85.5927,72.2116,60.9224,51.3981,43.3628,36.5837,30.8644,26.0392,21.9683,18.5339,15.6364,13.1919,11.1295,9.3896,7.92167,6.68324,5.63841,4.75693,4.01325,3.38584,2.85652,2.40994,13.0053
1897,1825.66,1540.24,1299.45,1096.3,924.913,780.318,658.322,555.401,468.566,395.304,333.495,281.352,237.364,200.255,168.948,142.536,120.253,101.453,85.5925,72.2114,60.9223,51.398,43.3627,36.5836,30.8643,26.0391,21.9683,18.5339,15.6364,13.1919,11.1295,9.38958,7.92166,6.68322,5.6384,4.75692,4.01325,3.38583,2.85651,2.40994,13.0053
1898,1825.66,1540.24,1299.45,1096.3,924.912,780.317,658.326,555.402,468.571,395.311,333.503,281.357,237.366,200.256,168.948,142.535,120.252,101.453,85.5922,72.2112,60.9221,51.3979,43.3626,36.5835,30.8642,26.0391,21.9682,18.5338,15.6363,13.1918,11.1295,9.38955,7.92164,6.68321,5.63839,4.75691,4.01324,3.38583,2.8565,2.40993,13.0052
1899,1825.66,1540.24,1299.45,1096.3,924.91,780.316,658.325,555.406,468.573,395.316,333.51,281.364,237.371,200.257,168.948,142.535,120.252,101.452,85.592,72.211,60.922,51.3978,43.3625,36.5834,30.8642,26.039,21.9682,18.5338,15.6363,13.1918,11.1295,9.38954,7.92163,6.6832,5.63838,4.7569,4.01323,3.38582,2.8565,2.40993,13.0052
1900,1825.66,1540.25,1299.45,1096.3,924.91,780.314,658.324,555.405,468.576,395.318,333.514,281.37,237.377,200.261,168.95,142.535,120.252,101.452,85.5917,72.2108,60.9218,51.3976,43.3624,36.5833,30.8641,26.039,21.9682,18.5338,15.6363,13.1918,11.1294,9.38952,7.92161,6.68318,5.63837,4.75689,4.01322,3.38581,2.85649,2.40992,13.0052
1901,1825.66,1540.25,1299.45,1096.3,924.91,780.314,658.323,555.404,468.575,395.32,333.515,281.373,237.381,200.266,168.953,142.537,120.252,101.452,85.5914,72.2105,60.9216,51.3974,43.3623,36.5832,30.864,26.0389,21.9681,18.5337,15.6362,13.1918,11.1294,9.3895,7.92159,6.68317,5.63835,4.75688,4.01321,3.38581,2.85649,2.40992,13.0051
1902,1825.66,1540.25,1299.45,1096.3,924.91,780.314,658.323,555.403,468.573,395.319,333.516,281.374,237.384,200.269,168.957,142.539,120.253,101.452,85.5911,72.2102,60.9213,51.3972,43.3621,36.5831,30.8639,26.0388,21.968,18.5336,15.6362,13.1917,11.1294,9.38947,7.92156,6.68314,5.63833,4.75686,4.0132,3.38579,2.85648,2.40991,13.0051
1903,1825.66,1540.25,1299.45,1096.3,924.91,780.314,658.323,555.402,468.572,395.317,333.515,281.375,237.384,200.271,168.96,142.542,120.255,101.453,85.5911,72.2099,60.921,51.3969,43.3619,36.5829,30.8638,26.0387,21.9679,18.5336,15.6361,13.1917,11.1293,9.38943,7.92154,6.68312,5.63831,4.75685,4.01318,3.38578,2.85647,2.4099,13.0051
