,Label,Type,00- Reference model,01- dockside '15,02- dockside '15 noxvar,03- private boat noxvar,04- no private boat,05- no charter,06- no dockside indices,07- no tag index,08- no nearshore,09- no OCMNS,10- no YOY,11- no data wts,12- Dirichlet,13- McA_I,14- 2015 Ct,"15-2015 Ct, ds noxvar",16- Sex = 3
1,AIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,AIC,7686.3,7654.34,7974.02,7683.46,7714.5,7703.84,7726.86,7679.54,7686.84,7684.1,7666.42,38078.2,78823.4,5620.1,7672.18,7982.3,7123.18
3,NA,deltaAIC,0,-31.96,287.72,-2.84,28.2,17.54,40.56,-6.76,0.54,-2.2,-19.88,30391.9,71137.1,-2066.2,-14.12,296,-563.12
4,Survey_likelihood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,ALL,-13.5373,-28.6193,33.8628,-15.5632,1.55072,-4.74531,10.348,-13.249,-13.9343,-14.4515,-23.7911,-23.7969,-26.1458,-35.5928,-17.4445,32.0688,-23.2454
9,NA,Tagging,2.64678,2.55137,5.42211,1.14929,4.32139,1.13841,3.53208,5.51096,1.12319,1.48142,1.25135,0.742244,-0.250506,-2.30876,-0.914112,5.21354,-1.60309
10,NA,Nearshore_survey,-1.66355,-1.70754,-1.72813,-1.69751,-1.72684,-1.6971,-1.72786,-1.73696,-1.69405,-1.7088,-1.70255,-1.72009,-1.63276,-1.73386,-1.6638,-1.70024,-1.63568
11,NA,OCNMS,-0.346485,-0.264355,-0.309068,-0.361187,0.40827,-0.352786,-0.0804971,-0.0273188,-0.372267,-0.277458,-0.324704,-0.705163,-0.875664,-0.283737,-0.656317,-0.492339,-0.744006
12,NA,OCNMS_YOY,8.47686,8.51623,8.47653,8.48788,8.58179,8.49245,8.62424,8.63599,8.48319,8.52519,8.54918,8.42611,8.40293,8.52987,8.45684,8.48822,8.34538
13,NA,Private_Boat,-12.2921,NA,NA,-12.7739,-7.88974,-12.3263,-8.04952,-9.66303,-12.801,-12.3908,-12.6521,-17.6824,-18.942,-26.1344,-12.7945,NA,-17.3413
14,NA,Charter,-10.3588,NA,NA,-10.3678,-10.0339,-10.0141,-9.70867,-10.4577,-10.3674,-10.3585,-10.3632,-12.8576,-12.8478,-13.6619,-9.87266,NA,-10.2668
15,NA,Dockside,NA,-37.7151,22.0013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5596,NA
28,Lt_likelihood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,ALL,651.478,647.395,655.887,648.619,650.652,648.862,647.39,646.543,648.728,647.905,648.428,2097.13,3880.79,433.853,649.455,658.086,488.208
30,NA,Trawl,134.653,135.335,139.22,134.641,133.068,134.786,132.999,134.188,134.654,134.595,134.624,194.658,579.365,67.8103,134.234,139.204,74.3075
31,NA,NonTRWL,56.1635,56.5948,63.1703,56.1595,55.5138,55.8847,55.2002,56.1326,56.1622,56.1452,56.1524,191.321,546.245,45.408,55.2828,63.2592,35.5963
32,NA,Recreational,329.717,328.116,324.114,330.198,329.942,330.615,330.496,327.781,330.266,329.725,330.089,372.544,1944.98,240.878,331.769,326.641,249.412
33,NA,Tagging,19.3462,18.7206,19.9801,18.9534,18.5045,18.8918,18.5761,18.3839,18.9608,18.8719,18.9274,23.9492,209.219,18.8991,19.4168,20.5588,19.7279
34,NA,Nearshore_survey,5.47608,2.65801,2.82714,2.65331,2.62135,2.64805,2.60632,2.61898,2.65301,2.64978,2.65445,29.9832,42.6618,29.246,2.6937,2.86121,2.54775
35,NA,OCNMS,106.122,105.971,106.576,106.014,111.001,106.037,107.513,107.438,106.032,105.918,105.98,1284.67,558.318,31.6109,106.059,105.561,106.617
36,NA,OCNMS_YOY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,NA,Private_Boat,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
38,NA,Charter,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
39,NA,Dockside,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
52,Age_likelihood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,ALL,3093,3094.06,3176.97,3093.04,3091.53,3092.38,3091.65,3092.16,3092.99,3093.23,3093.02,16487.6,35015.3,2303.33,3090.1,3185.37,2983.8
54,NA,Trawl,263.936,262.651,246.68,263.973,265.07,265.081,266.157,263.202,263.996,263.827,263.948,2396.36,4458.18,633.953,258.889,241.058,260.193
55,NA,NonTRWL,957.605,958.646,1009.29,957.75,956.921,956.164,956.013,958.552,957.725,957.82,957.773,1878.6,3713.91,532.958,957.107,1009.82,926.931
