"","Label","Type","Reference Model","01-Length Only","02-C+L","03-C+L Francis","04-C+L+A","05-C+L+A+I","06-C+L+A+I-extra var","07-C+L+A+I+estLH-extra var","08-Ref Mod with Dirichlet","09-Ref Mod with McI","10-Ref Mod -data wt","11-Ref Mod with CARE age error","12. Use Sex=3"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"AIC",5558.32,459.34,4996.86,351.726,6695.9,6620.96,6499.56,7049.72,6376.7,3758.28,6303.38,5436.42,5256.56
"11",NA,"deltaAIC",0,-5098.98,-561.46,-5206.594,1137.58,1062.64,941.240000000001,1491.4,818.38,-1800.04,745.06,-121.9,-301.759999999999
"2","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"ALL",-32.8284,NA,NA,NA,NA,-39.2771,5.81902,-39.433,-32.551,-35.0045,-32.5673,-33.0701,-32.4584
"13",NA,"Commercial",0,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"14",NA,"Recreational",-32.8284,NA,NA,NA,NA,-39.2771,5.81902,-39.433,-32.551,-35.0045,-32.5673,-33.0701,-32.4584
"15",NA,"Fishery1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Fishery2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Surv_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,"Commercial",0,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"19",NA,"Recreational",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1
"20",NA,"Fishery1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,"Fishery2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Length_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"ALL",449.805,222.669,2493.43,170.863,218.939,219.666,192.974,918.145,714.449,305.169,710.875,438.6,309.354
"23",NA,"Commercial",279.217,NA,603.886,116.437,142.811,143.695,127.317,413.218,297.004,225.574,296.34,271.112,148.334
"24",NA,"Recreational",170.588,NA,1889.55,54.426,76.1273,75.9707,65.6567,504.927,417.445,79.5953,414.535,167.488,161.02
"25",NA,"Fishery1",NA,161.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,"Fishery2",NA,61.4772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"Commercial",1,NA,1,1,1,1,1,1,1,1,1,1,1
"29",NA,"Recreational",1,NA,1,1,1,1,1,1,1,1,1,1,1
"30",NA,"Fishery1",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,"Fishery2",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"ALL",2260.95,NA,NA,NA,3124.01,3124.1,3045.99,2630.13,2296.83,1443.19,2293.35,2214.6,2251.49
"33",NA,"Commercial",1018.99,NA,NA,NA,1342.01,1341.98,1304.34,1164.52,1035.4,675.409,1033.54,1016.11,1017.05
"34",NA,"Recreational",1241.97,NA,NA,NA,1782.01,1782.11,1741.66,1465.61,1261.43,767.778,1259.81,1198.5,1234.44
"35",NA,"Fishery1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,"Fishery2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,"Commercial",1,NA,NA,NA,1,1,1,1,1,1,1,1,1
