"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 3+ Biomass (mt)","Spawning Output","Fraction Unfished"
2021,"12.99","12.18","295.77","21.35","0.73"
2022,"13.36","12.18","293.79","21.57","0.74"
2023,"13.49","12.62","290.54","21.88","0.75"
2024,"13.36","12.43","285.85","21.98","0.75"
2025,"13.10","12.13","280.44","21.86","0.75"
2026,"12.79","11.79","274.66","21.58","0.74"
2027,"12.47","11.43","268.79","21.19","0.72"
2028,"12.16","11.10","263.02","20.75","0.71"
2029,"11.87","10.79","257.45","20.29","0.69"
2030,"11.60","10.49","252.16","19.84","0.68"
2031,"11.35","10.22","247.21","19.40","0.66"
2032,"11.12","9.97","242.62","18.99","0.65"
